time,model,area,stage,params,val_MAE,val_RMSE,val_MAPE,best_epoch,epochs_run,train_seconds,n_params,notes
2026-09-21T00:54:25,lstm,5161,1_window,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""layers"": 1, ""lr"": 0.001, ""window"": 36}",109.24176339949246,171.16959065586175,7.801783733603875,24,32,12.24,18241,"Stage 1 varies only the window; all else at defaults (hidden 64, 1 layer, dropout 0.1, lr 1e-3). Best of stage 1 (RMSE 171.2), but only ~2 MAE below window 288. Fixed at 36: also cheapest (12 s vs 87 s for 288)."
2026-09-21T00:54:49,lstm,5161,1_window,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""layers"": 1, ""lr"": 0.001, ""window"": 72}",110.43393068714964,172.34221101093718,7.920485504324727,28,36,23.85,18241,Within ~1 MAE of window 36. No gain from a longer context.
2026-09-21T00:55:18,lstm,5161,1_window,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""layers"": 1, ""lr"": 0.001, ""window"": 144}",111.02187928357738,171.33817250688736,7.870220745232107,13,21,28.18,18241,"RMSE 171.3, same as window 36, even though ACF showed strong lag-144 correlation (0.88). Hypothesis (untested): the time-of-day/day-of-week inputs already supply the daily phase. Early stop at epoch 13/21."
2026-09-21T00:56:45,lstm,5161,1_window,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""layers"": 1, ""lr"": 0.001, ""window"": 288}",111.05438957463352,173.97458163935215,7.893689473545483,24,32,86.96,18241,Slowest (87 s) and worst RMSE (174.0) of stage 1. No benefit from two days of context.
2026-09-21T00:56:53,lstm,5161,2_capacity,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 32, ""layers"": 1, ""lr"": 0.001, ""window"": 36}",116.74408564426038,183.7941506592552,8.160196809974963,33,41,8.65,5025,"Under-capacity: MAE 116.7, clearly worse than hidden 64. Testing wider next."
2026-09-21T00:57:07,lstm,5161,2_capacity,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 32, ""layers"": 2, ""lr"": 0.001, ""window"": 36}",119.41605320748828,186.7776381840305,8.204651047142624,24,32,13.54,13473,Extra depth on a small network did not help (119.4).
2026-09-21T00:57:18,lstm,5161,2_capacity,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""layers"": 1, ""lr"": 0.001, ""window"": 36}",109.24176339949246,171.16959065586175,7.801783733603875,24,32,11.24,18241,"Identical to the stage-1 window-36 run (109.24), which confirms the fixed-seed setup is reproducible."
2026-09-21T00:57:40,lstm,5161,2_capacity,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 64, ""layers"": 2, ""lr"": 0.001, ""window"": 36}",108.89744432261882,169.36504266610223,7.822720363689045,22,30,21.6,51521,MAE 108.9 vs 109.2 for 1 layer: a 0.3 difference is not meaningful with single-seed noise.
2026-09-21T00:57:59,lstm,5161,2_capacity,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""layers"": 1, ""lr"": 0.001, ""window"": 36}",102.17468925939656,159.19529568761712,7.576935253251062,24,32,19.11,69249,"Best of stage 2 (MAE 102.2, RMSE 159.2). Capacity helps up to 128 units with one layer. Fixed for stage 3."
2026-09-21T00:58:27,lstm,5161,2_capacity,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden"": 128, ""layers"": 2, ""lr"": 0.001, ""window"": 36}",118.60641218497284,185.62208165377177,8.013966781858336,14,22,28.36,201345,"Much worse (118.6) and stopped early (best epoch 14/22). Depth did not help; because hidden 64 with 2 layers behaved differently, part of this may be seed noise."
